well_id,permeability_md,porosity_fraction,net_to_gross,thickness_ft,well_depth_ft,tubing_diameter_in,choke_size_64th,well_type,completion_type,artificial_lift,reservoir_pressure_psi,reservoir_temp_f,bottomhole_pressure_psi,wellhead_pressure_psi,oil_gravity_api,gas_oil_ratio_scf_bbl,water_cut_fraction,fvf_oil,oil_viscosity_cp,oil_rate_bbl_day,gas_rate_scf_day,water_rate_bbl_day,productivity_index,oil_price_usd_bbl,gas_price_usd_mcf,daily_opex_usd,drilling_cost_usd,completion_cost_usd,total_capex_usd,daily_revenue_usd,performance_index,oil_cut,profit_per_barrel,production_efficiency,economic_efficiency,ranking_score,drill_date,well_age_days,production_months,days_since_workover,pressure_drawdown,total_liquid_rate,productivity_factor,depth_category
1,12.142529843551035,0.10855024945389638,0.8747179459948007,75.11228561135928,9116.287957249904,2.875,63.84532239460175,Horizontal,Perforated,Natural Flow,3500.5903764311606,198.2746231307206,4107.386206350867,3285.9089650806936,24.35435894935259,61.604896458009144,0.7314088630670106,1.1018481468937404,100.0,9.772973897792252,602.0630450603177,26.612989527504872,0.007240464826720657,38.292434351779555,3.292834741620665,336.78770666038935,1275037.460720258,449336.51662120805,1724373.9773414661,39.425748853896096,29.7568909160388,0.7685911369329894,43.16880974826281,0.7695911369329894,2.100619920991077,35.84946407715209,2018-12-03,2221,9.061566607997788,145.2473327556432,893.4571885507912,21.192392343409697,1.3180746435188462,Deep
2,6.434896125657351,0.12199094799015152,0.5569493508775605,61.92061055114441,7728.163740172846,4.5,9.681456298445998,Deviated,Perforated,ESP,2868.98734887371,211.53093123909352,3183.3749095638677,2546.699927651094,17.576258142442498,153.66759168423346,0.5621054299917032,1.104610027750527,100.0,3.0,461.0027750527004,3.850955354362592,0.00200901644324803,54.235183201049445,1.8451985393060057,390.1127266614376,1159741.951270244,523987.2752284725,1683729.2264987165,-226.556535411146,18.216711404308043,0.9378945700082967,12.524013843609968,0.9388945700082967,0.16372824119076498,30.714193240538528,2021-11-22,1136,37.26268349368174,227.76834686383913,915.1784459700038,5.331089259709127,0.7849990785870935,Medium
3,14.121359906705182,0.1873646802561631,0.3854854285031502,30.2585577987965,7025.940442517861,3.5,58.252488484292186,Vertical,Perforated,Gas Lift,2272.420523773672,175.1232877403206,2310.48097653884,1848.384781231072,29.4046836790137,168.5718239704886,0.8898275120112513,1.1050571547191148,100.0,3.0,505.7154719114658,24.229808684157945,0.00149055488401739,39.43068019591189,2.5411661061359507,360.95380339272634,996002.1475989568,648547.7369272549,1644549.8845262118,-241.3766557884207,3.6006054636415445,0.6101724879887486,-5.746082970440467,0.6111724879887485,-0.08118773891228906,20.08487716925077,2022-10-28,796,11.500389611692377,409.21205487632363,935.834057423549,8.194398967547732,2.6458440837020176,Medium
4,33.88694565868619,0.18051851327167323,0.8741958747826064,18.42345309563909,9981.956048409518,4.5,42.867309881524854,Deviated,Perforated,Rod Pump,3299.526132449115,224.37062049042635,4242.247884577434,3393.7983076619475,36.293588213638024,50.0,0.5815163878437696,1.1015000000000001,77.6260102485083,3.0,150.0,4.16872953713296,0.006382935344061954,52.46056966861755,3.2872169734520686,362.7633152665101,1360375.3463413613,295256.28142292495,1655631.6277642862,-204.88852371463966,18.105637184397388,0.9184836121562304,14.820020529526143,0.9194836121562304,0.2083510143385245,30.264812566543277,2016-05-20,3148,4.7997996772329365,417.6279557259914,471.36087606415913,5.443754782414929,6.117221049624012,Deep
5,5.846520075035395,0.14895492030179258,0.6639299103080034,94.58919508272214,10129.404506770456,4.5,62.50942667322998,Horizontal,Slotted Liner,Gas Lift,3405.0456150635973,221.53313241702875,4229.0500770918015,3383.2400616734412,35.822868623458675,235.03453056608035,0.6087310858821349,1.1070510359169825,80.53008791265948,6.334220636060297,1488.7605736984108,9.854672866170052,0.0041184651314138685,47.13202917354082,1.7147376232295273,403.9745437196184,1310001.9115302146,477927.1243041633,1787929.0358343779,-102.87703814147875,28.844096836817005,0.8912689141178651,40.47977805275342,0.8922689141178651,1.0678751759323073,34.199135333389805,2019-09-06,1944,42.12186624448049,71.68585443468506,635.3008015704809,11.844947061763062,0.8708679318197277,Deep
6,5.846616062669532,0.15586636916543908,0.6178427108037152,112.57890277703117,7099.364651391942,3.5,34.04053298147994,Vertical,Perforated,Natural Flow,2621.9421706327876,204.76546906860597,2953.224055357899,2362.5792442863194,36.194735288479045,74.76806888739088,0.853997150296179,1.1022430420666218,86.73391281147988,3.0,224.30420666217265,17.547423962352465,0.0042537622149749965,34.144393712470446,2.6706261264840654,286.2335462100163,1164513.7754430391,366732.1558974796,1531245.9313405189,-183.20133239801268,5.206751282231748,0.6460028497038209,-0.05307130717459827,0.6470028497038209,-0.0009456042807500238,21.40992888453231,2018-01-01,2557,41.36130918197192,548.28000988854,792.407616974655,7.7398996960968525,0.9112908175926352,Medium
7,35.845312863785985,0.21388324478942122,0.8713626855843593,56.10251402787363,5200.190072959076,3.5,55.45372411199693,Vertical,Open Hole,ESP,1969.5526460931546,135.10848163165429,2008.1051611743246,1606.4841289394599,23.711545351471344,557.3089927869263,0.6336383338369995,1.116719269783608,100.0,13.549597790758227,7551.312697435429,23.434550955248508,0.015691687344071673,48.81197517129724,2.0007277729966684,411.9419832886005,984490.5066650826,334775.732264651,1319266.2389297336,264.5487686912955,58.67779311613492,0.8663616661630005,64.41940742584103,0.8673616661630005,3.5471104368697053,45.62502486081491,2015-03-25,3570,19.967808445131265,30.0,805.5414761016109,26.066088082114156,7.666711825798528,Medium
8,15.917748255147648,0.1204214305582085,0.6799488065400106,40.89062523046587,9511.270534755384,3.5,11.494067841503526,Vertical,Perforated,ESP,3470.3126086561642,207.73145780839087,4272.216479361375,3417.7731834891,41.425237940912176,264.7798356617679,0.8925869980690777,1.1079433950698532,66.85167570047783,3.0,794.3395069853036,24.92934762759603,0.005975190119458968,44.293996186842875,2.1674051043180285,410.8443315269066,1760850.610503346,596695.6645344817,2357546.275037828,-276.2406874643766,3.465691330731441,0.6074130019309223,-7.378140562721424,0.6084130019309223,-0.09158825857480507,19.96996570393666,2015-02-28,3595,34.01261869940006,85.130072643243,685.372961576003,8.231626179352746,1.9168380161503071,Deep
9,4.620604839036434,0.1773548690585019,0.615698435571836,14.022238364916461,6973.055261359994,2.875,26.77562680438456,Horizontal,Perforated,Natural Flow,2541.2922749042255,206.87610082079425,3267.375782019719,2613.9006256157754,36.917020145911984,126.1687912083102,0.6669354312802835,1.1037850637362494,82.87004561053391,3.0,378.5063736249306,6.007244464000968,0.00043611611363706277,42.26719766250155,2.000257932986144,283.23248714041534,783095.3033922919,554462.4574499339,1337557.7608422257,-155.6737837763816,14.858652614362281,0.8330645687197163,13.881726235438883,0.8340645687197163,0.24996003994993723,27.815675611776992,2017-11-10,2609,27.182098836144107,407.05779335696434,363.04175355774623,6.0019345268154325,0.819486766198387,Medium
10,12.712173066814993,0.1398903673783053,0.7810754688382874,92.95527809950114,9185.938398744152,3.5,11.752926114067758,Horizontal,Perforated,Natural Flow,3001.8562198376167,211.58507638773327,3450.4295851861216,2760.3436681488975,40.864434251727985,96.87311014756479,0.62498494149079,1.102906193304427,67.16969900526644,5.118608901385598,495.85556390623265,8.530443996088636,0.012458761491788399,46.46974255903203,2.0401599072871037,314.4054683017345,1733166.9542225187,544943.3515947262,2278110.305817245,-75.53340575268928,28.281451973327705,0.87501505850921,40.40389306123393,0.8760150585092099,1.1091620076230901,33.05616069536329,2019-01-21,2172,41.08893734266619,57.79492093598837,837.9364431533313,9.749562060828973,1.7783105604933471,Deep
